"Lat","Long","Magnitude"
39.4871,73.3486,6.4
32.7906,130.7543,7
32.6973,130.7204,6
32.788,130.7042,6.2
23.0944,94.8654,6.9
36.4725,71.1311,6.6
-9.6338,119.4013,6.3
22.9375,120.6014,6.4
24.8036,93.6505,6.7
36.4935,71.1263,6.3
3.6455,117.6359,6.1
38.2107,72.7797,7.2
-8.3381,124.8754,6.5
36.5244,70.3676,7.5
37.4593,78.1542,6.4
5.9867,116.5409,6
-2.542,102.2191,6
27.625,86.1617,6.3
27.8087,86.0655,7.3
27.7711,86.0173,6.7
28.2244,84.8216,6.6
27.6285,85.5398,6.1
28.2305,84.7314,7.8
36.6408,137.8875,6.2
19.6557,99.6696,6.1
35.9053,82.5864,6.9
23.5904,121.4366,6.3
4.645,96.665,6.1
23.789,121.141,6.2
26.56,57.77,6.1
30.308,102.888,6.6
28.033,61.996,7.7
28.428,51.593,6.4
-3.517,138.476,7
42.77,143.092,6.9
42.605,79.708,6.1
4.927,95.907,6.1
23.005,95.885,6.8
9.219,126.161,6.1
-1.315,120.096,6.3
35.661,82.518,6.2
38.389,46.745,6.2
38.329,46.826,6.4
2.707,96.045,6.4
43.433,84.7,6.3
3.009,97.896,6.1
-3.812,140.266,6.1
35.687,140.695,6
9.885,123.095,6
9.999,123.206,6.7
43.892,142.479,6.1
27.73,88.155,6.9
2.965,97.893,6.7
40.081,71.41,6.1
-2.384,136.631,6.3
35.579,140.305,6.2
37.001,140.401,6.6
20.687,99.822,6.9
35.272,138.582,6
37.014,138.376,6.2
-2.497,121.483,6.1
24.618,94.68,6.2
28.195,59.015,6.2
38.413,72.791,6
28.777,63.951,7.2
28.412,59.18,6.7
-2.329,136.484,6.6
-2.386,136.635,6.2
6.948,124.025,6
33.195,96.449,6.1
33.165,96.548,6.9
22.918,120.795,6.3
2.759,95.91,6
36.391,70.722,6.2
36.517,70.95,6.2
-6.534,105.223,6.1
-3.058,139.539,6
23.63,121.452,6.1
-2.482,101.524,6.6
27.332,91.437,6.1
37.696,95.718,6.3
-0.447,132.908,6.1
-2.952,139.543,6
4.026,126.783,6
-0.691,133.305,7.4
36.419,70.743,6.6
5.752,125.377,6.3
37.565,95.833,6.3
30.598,67.455,6.4
30.639,67.351,6.4
29.807,90.35,6.3
33.886,69.47,6
39.533,73.824,6.7
30.836,83.487,6
26.743,55.828,6.1
26.241,101.889,6
30.901,83.52,6.7
25.039,97.697,6
32.756,105.494,6
39.03,140.881,6.9
32.56,105.423,6.1
1.64,99.147,6
31.214,103.618,6.1
31.002,103.322,7.9
35.49,81.467,7.2
2.768,95.964,7.4
1.011,97.442,6.2
32.288,85.166,6.4
-2.407,139.067,6.2
23.028,101.052,6.1
20.503,100.732,6.3
34.248,81.967,6.1
36.451,70.688,6.2
-0.488,100.53,6.3
-0.493,100.498,6.4
-3.322,139.834,6
39.803,70.312,6
3.39,99.079,6.3
33.134,131.145,6.3
-7.961,110.446,6.3
33.5,48.78,6.1
-3.595,127.214,6.7
28.12,56.865,6
36.357,71.093,6.5
30.491,83.662,6.3
0.923,97.867,6.1
27.095,61.887,6
30.754,56.816,6.4
41.728,79.44,6.1
-1.198,119.933,6.3
-3.638,135.445,6.2
-3.609,135.404,7.1
30.694,83.672,6.2
36.29,51.61,6.3
-3.729,140.081,6.2
36.512,71.029,6.6
33.954,89.179,6
-3.665,135.339,6.7
-4.003,135.023,7.3
-3.615,135.538,7
28.995,58.311,6.6
42.905,80.515,6
12.025,125.416,6.5
19.917,95.672,6.6
38.849,141.568,7
37.529,96.476,6.4
39.61,77.23,6.3
7.471,123.407,6.3
-3.81,135.123,6.3
35.414,74.515,6.3
-3.667,140.312,6
-3.597,140.226,6.3
-1.478,134.111,6
-1.401,133.934,6
-1.511,133.973,6.7
-1.743,134.013,6
44.833,129.923,6.4
43.752,130.666,7.3
35.626,49.047,6.5
36.062,69.315,6.1
36.502,70.482,7.4
36.429,70.438,6.3
36.088,70.687,6.2
39.402,141.089,6.5
36.392,71.506,6.1
35.946,90.541,7.8
