"Lat","Long","Magnitude"
-25.5655,129.8841,6
-16.0429,167.3786,7
-5.4513,151.5457,6
-5.4624,151.8751,7.5
-5.4912,151.8715,6
-5.2005,151.7773,6.8
-5.375,151.7706,6.7
-42.0602,173.0066,6.1
-17.6864,168.3982,6.2
-10.5365,161.7027,6
-40.6595,175.8144,6.1
-6.029,149.706,6.6
-7.028,155.726,6.1
-3.214,142.542,6.6
-4.632,153.016,6.1
-38.428,176.067,6.3
-4.766,144.57,6.2
-6.242,145.955,6.6
-5.595,151.042,6.2
-7.551,146.809,7.1
-5.785,151.037,6.1
-5.928,151.04,6.4
-5.985,149.777,6.4
-43.583,172.68,6.1
-5.514,151.161,6.1
-6.669,147.291,6.2
-3.76,141.943,6
-8.726,157.487,6.6
-5.664,149.543,6.1
-6.146,147.258,6.4
-5.878,146.884,6.3
-4.587,151.841,6.1
-5.724,151.133,6.5
-5.154,145.284,6.2
-6.319,146.846,6.1
-4.238,152.717,6.1
-6.072,149.401,6.3
-5.581,150.88,6.6
-5.376,151.509,6
-5.273,151.502,6
-5.473,151.691,6.1
-6.011,149.792,6.3
-3.284,142.769,6
-3.313,142.679,6.3
-5.685,151.258,6.3
-5.345,151.248,6.6
-5.527,151.097,6.2
-5.651,151.074,6.4
-3.212,142.427,6.7
-5.912,150.196,7
-4.312,152.956,6.1
-6.815,146.41,6
-6.884,146.388,6.4
-5.706,151.122,6.4
-4.218,152.725,6.5
-5.133,151.655,6
-5.228,151.771,6.8
-5.496,151.781,7.8
-5.538,151.592,6
-15.421,166.91,7
-6.817,143.807,6.6
-5.844,150.876,6.6
-5.786,150.974,6.3
-38.699,175.803,6.2
-5.151,151.942,6.2
-5.65,148.533,6.1
-6.527,147.007,6.4
-5.591,149.568,7.4
-4.357,152.707,6.2
-5.421,151.681,6
-2.961,141.926,7
-5.845,149.704,6
-5.147,151.714,6.6
-5.951,147.026,6.1
-6.485,147.408,6.5
-4.938,152.131,6.2
-5.973,146.565,6.1
-6,146.629,6.1
-42.984,171.793,6.2
-5.968,146.635,6
-6.053,146.543,6.2
-6.323,155.207,6.1
-19.544,169.287,6.6
-5.246,152.04,6
-43.273,171.611,6
-42.963,171.658,6.8
-5.472,151.841,6.2
-14.175,167.537,6.2
-18.773,169.169,6.9
-20.23,169.789,7
-5.858,146.016,6.1
-5.909,145.99,6.7
-5.898,146.202,6.3
-6.013,146.061,6
-5.932,146.153,6.5
-5.889,146.02,6.9
-5.997,142.743,6.2
-38.52,177.553,6.4
-4.991,145.459,6.2
-5.343,151.985,6.4
-6.487,147.144,6.1
-6.87,144.174,6.2
-5.425,151.175,6.2
-41.616,173.727,6
-6.175,147.236,6
-6.075,147.572,7.2
-16.784,168.31,6
-5.696,151.164,6.5
-6.191,147.576,6.7
-6.228,147.613,6
-6.237,146.444,6.2
-5.814,150.959,6.6
-4.39,142.715,6.4
-5.396,151.837,6.2
-5.94,142.282,6
-5.575,150.993,6.3
-5.178,151.729,6
-40.296,176.064,6.4
-5.604,150.164,6.4
-40.347,176.102,6.3
-42.343,172.798,6
-6.436,146.383,7.1
-6.125,149.785,6.6
-45.003,167.599,6.7
-19.829,133.882,6.7
-19.798,133.91,6.3
-19.847,133.803,6.3
-5.601,149.39,6.1
-5.271,151.342,6.1
-4.731,144.216,6
-6.446,147.603,6
-37.965,176.765,6.5
-6.097,146.306,6
-5.325,151.331,6.3
-4.448,143.943,7.2
-4.99,151.71,6.4
-5.546,150.686,6.1
-5.933,149.429,6.2
-38.778,176.973,6
-4.251,152.877,6
-4.439,152.828,7.3
-5.599,151.045,7.2
-3.782,141.772,6.1
-5.99,149.606,6.2
-6.105,149.855,6.2
