"country","continent","latitude","longitude"
"United States of America","North America","37.0902","-95.7129"
"Ecuador","South America","-1.8312","-78.1834"
"Chile","South America","-35.6751","-71.5430"
"Pakistan","Asia","30.3753","69.3451"
"Indonesia","Asia","-0.7893","113.9213"
"Philippines","Asia","12.8797","121.7740"
"Papua New Guinea","Australia","-6.3150","143.9555"
"Argentina","South America","-38.4161","-63.6167"
"China","Asia","35.8617","104.1954"
"Peru","South America","-9.1900","-75.0152"
"Turkey","Europe","38.9637","35.2433"
"New Zealand","Australia","-40.9006","174.8860"
"Dominican Republic","South America","18.7357","-70.1627"
"Japan","Asia","36.2048","138.2529"
"Afghanistan","Asia","33.93911","67.70995"
"Tajikistan","Asia","38.8610","71.2761"
"Australia","Australia","-25.2744","133.7751"
"Puerto Rico","South America","18.2208","-66.5901"
"Iran","Asia","32.4279","53.6880"
"Algeria","Africa","28.0339","1.6596"
"Kyrgyzstan","Asia","41.2044","74.7661"
"Myanmar","Asia","21.9162","95.9560"
"Mexico","South America","23.6345","-102.5528"
"Cyprus","Europe","35.1264","33.4299"
"Costa Rica","South America","9.7489","-83.7534"
"Canada","North America","56.1304","-106.3468"
"Nepal","Asia","28.3949","84.1240"
"Russia","Europe","61.5240","105.3188"
"Colombia","South America","4.5709","-74.2973"
"Bolivia","South America","-16.2902","-63.5887"
"Bangladesh","Asia","23.6850","90.3563"
"Italy","Europe","41.8719","12.5674"
"Nicaragua","South America","12.8654","-85.2072"
"Turkmenistan","Asia","38.9697","59.5563"
"France","Europe","46.2276","2.2137"
"Panama","South America","8.5380","-80.7821"
"Guatemala","South America","15.7835","-90.2308"
"Vanuatu","Australia","-15.3767","166.9592"
"United States Virgin Islands","South America","18.3358","-64.8963"
"Republic of Serbia","Europe","44.0165","21.0059"
"Venezuela","South America","6.4238","-66.5897"
"Uzbekistan","Asia","41.3775","64.5853"
"Kazakhstan","Asia","48.0196","66.9237"
"Greece","Europe","39.0742","21.8243"
"East Timor","Asia","-8.8742","125.7275"
"Yemen","Asia","15.5527","48.5164"
"India","Asia","20.5937","78.9629"
"Bulgaria","Europe","42.7339","25.4858"
"Taiwan","Asia","23.6978","120.9605"
"Macedonia","Europe","41.6086","21.7453"
"Albania","Europe","41.1533","20.1683"
"Djibouti","Africa","11.8251","42.5903"
"Haiti","South America","18.9712","-72.2852"
"Honduras","South America","15.2000","-86.2419"
"Croatia","Europe","45.1000","15.2000"
"Solomon Islands","Australia","-9.6457","160.1562"
"South Africa","Africa","-30.5595","22.9375"
"Austria","Europe","47.5162","14.5501"
"Laos","Asia","19.8563","102.4955"
"Iceland","Europe","64.9631","-19.0208"
"British Virgin Islands","South America","18.4207","-64.6400"
"Jamaica","South America","18.1096","-77.2975"
"Northern Mariana Islands","Australia","15.0979","145.6739"
"Mongolia","Asia","46.8625","103.8467°"
"Mauritania","Africa","21.0079","10.9408"
"United Republic of Tanzania","Africa","-6.3690","34.8888"
"Romania","Europe","45.9432","24.9668"
"Morocco","Africa","31.7917","-7.0926"
"Montenegro","Europe","42.7087","42.7087"
"Poland","Europe","51.9194","19.1451"
"Vietnam","Asia","14.0583","108.2772"
"Iraq","Asia","33.2232","43.6793"
"El Salvador","South America","13.7942","-88.8965"
