"country","magnitude"
"Afghanistan",25154.9
"Albania",11910.3
"Algeria",3699.9
"Andorra",27.8
"Angola",40.1
"Antarctica",150
"Antigua and Barbuda",90
"Argentina",39862
"Armenia",208.7
"Australia",4628.1
"Austria",2629.5
"Azerbaijan",945.5
"Bangladesh",358.6
"Barbados",4.7
"Belgium",532.9
"Benin",5.4
"Bhutan",230.1
"Bolivia",6638.5
"Bosnia and Herzegovina",4442.9
"Botswana",51.3
"Brazil",663.9
"British Virgin Islands",120.9
"Bulgaria",2526.9
"Burundi",53.2
"Cameroon",14.2
"Canada",8040.02
"Central African Republic",33.4
"Chile",80900.7
"China",44786.3
"Colombia",13857.9
"Costa Rica",3207.9
"Croatia",3378.7
"Cuba",74.5
"Curacao",5
"Cyprus",1201.2
"Czech Republic",2302.3
"Democratic Republic of the Congo",1660.7
"Denmark",18.8
"Djibouti",213.5
"Dominica",131.2
"Dominican Republic",2236.6
"East Timor",439.4
"Ecuador",4819.6
"Egypt",634.9
"El Salvador",1429.4
"Equatorial Guinea",4.8
"Eritrea",278.5
"Estonia",4.5
"Ethiopia",826.4
"Federated States of Micronesia",5.3
"Fiji",204.1
"Finland",23.9
"France",22875.8
"French Southern and Antarctic Lands",28.5
"Gabon",11.4
"Georgia",915.3
"Germany",6235
"Ghana",41.2
"Greece",50761.7
"Greenland",220.5
"Grenada",5.1
"Guam",45.4
"Guatemala",4981.2
"Guinea",26.8
"Haiti",574.9
"Honduras",557
"Hungary",495.4
"Iceland",2588.7
"India",7291.2
"Indonesia",45346.5
"Iran",25270.6
"Iraq",1022.5
"Israel",83.9
"Italy",37672.5
"Jamaica",220.2
"Japan",20724.4
"Jersey",4.6
"Jordan",150.8
"Kazakhstan",2002
"Kenya",112.8
"Kosovo",814.3
"Kuwait",44.9
"Kyrgyzstan",3652.3
"Laos",294.2
"Lebanon",160
"Lesotho",29.4
"Liberia",9.9
"Libya",83.7
"Liechtenstein",49.6
"Luxembourg",14.3
"Macedonia",2560.9
"Madagascar",87.4
"Malawi",537.4
"Malaysia",184
"Mali",5.2
"Mauritania",116.1
"Mexico",90052.89
"Moldova",4.9
"Monaco",4.7
"Mongolia",1513.9
"Montenegro",2359.5
"Montserrat",44.2
"Morocco",6049.3
"Mozambique",913.8
"Myanmar",7732.6
"Namibia",68.6
"Nepal",3182.7
"Netherlands",324.2
"New Caledonia",9.9
"New Zealand",13513.3
"Nicaragua",2279.7
"Nigeria",4.5
"North Korea",56.7
"Northern Cyprus",233.5
"Northern Mariana Islands",64.6
"Norway",947.2
"Pakistan",9883.1
"Panama",2234.5
"Papua New Guinea",33690.8
"Paraguay",16.7
"Peru",17660.6
"Philippines",12810.8
"Poland",19353.8
"Portugal",897.7
"Puerto Rico",5084.6
"Republic of Serbia",2083.8
"Republic of the Congo",25.3
"Romania",3423.3
"Russia",18143.4
"Rwanda",78
"Saint Kitts and Nevis",9.4
"Saint Lucia",59.2
"Saudi Arabia",492.9
"Siachen Glacier",83.4
"Slovakia",122.9
"Slovenia",2856.1
"Solomon Islands",2267.4
"Somalia",4.9
"Somaliland",80.8
"South Africa",5968.6
"South Georgia and South Sandwich Islands",5
"South Korea",24.2
"South Sudan",337.1
"Spain",16520.4
"Sudan",31
"Swaziland",5.4
"Sweden",506
"Switzerland",4090.9
"Syria",163.2
"Taiwan",4004.4
"Tajikistan",11134.3
"Thailand",247.3
"Tonga",10.4
"Trinidad and Tobago",450.9
"Tunisia",224.6
"Turkey",60165.3
"Turkmenistan",866.7
"Uganda",333.6
"Ukraine",77.6
"United Arab Emirates",29.8
"United Kingdom",626.4
"United Republic of Tanzania",1384.5
"United States",58.6
"United States",481145.21
"Uzbekistan",2118.4
"Vanuatu",1642.1
"Venezuela",2635.4
"Vietnam",207.1
"West Bank",14.8
"Yemen",90.2
"Zambia",614.2
"Zimbabwe",125.5
