"Lat","Long","Magnitude"
53.9776,158.5463,7.2
38.67,20.6,6.5
38.2637,20.3897,6
42.736,131.003,6.3
67.631,142.508,6.6
44.89,11.23,6
51.708,95.991,6.7
51.842,95.911,6.6
38.721,43.508,7.1
54.08,123.722,6
36.965,-3.542,6.3
38.864,39.986,6.1
42.587,130.703,6.9
42.66,43.443,6
42.334,13.334,6.3
51.607,104.158,6.3
67.698,141.276,6.1
37.963,21.525,6.4
64.005,-21.013,6.3
37.216,22.693,6.2
52.137,157.293,6.4
43.224,133.526,6
54.271,158.447,6.2
60.772,165.743,6.6
60.491,167.516,6.6
61.354,167.525,6.1
60.527,165.816,6.1
60.874,167.007,6.1
60.949,167.089,7.6
55.682,160.003,6.9
50.211,87.721,6.7
50.091,87.765,6.4
50.038,87.813,7.3
43.393,132.267,6.2
55.492,159.999,6.9
39.007,40.464,6.4
39.5,39.878,6.1
51.952,157.323,6.2
38.632,30.902,6
38.573,31.271,6.5
44.79,147.196,6.2
38.457,31.351,6
48.786,142.246,6.8
63.98,-20.758,6.5
63.966,-20.487,6.5
40.693,32.992,6
40.758,31.161,7.2
38.119,23.605,6
40.748,29.864,7.6
38.717,48.507,6
36.878,35.307,6.3
54.841,162.035,7.8
43.084,12.812,6
42.803,17.936,6
53.826,159.586,6.6
38.063,30.134,6.4
38.401,22.283,6.5
52.629,142.827,7.1
40.149,21.695,6.6
56.761,117.9,6
38.16,26.998,6.1
42.589,45.104,6.4
39.71,39.605,6.7
42.461,44.009,6.3
42.503,43.899,6.1
42.453,43.673,7
60.904,167.023,6.6
41.004,22.3,6.1
45.811,26.769,6.3
45.841,26.668,7
57.086,122.018,6
57.166,121.976,6.4
40.987,44.185,6.8
63.85,-19.728,6
37.014,22.176,6
45.547,26.316,7.2
37.993,37.806,6.1
40.33,42.187,6.8
55.867,161.287,7.1
53.93,158.372,6.2
40.324,27.222,6.1
38.209,23.288,6.4
38.222,22.934,6.7
40.914,15.366,6.9
39.257,22.557,6.3
42.096,19.209,6.9
40.739,23.229,6.4
45.772,26.761,6.4
39.121,44.029,7.3
46.302,13.197,6
43.172,45.603,6.1
46.162,12.864,6.1
46.356,13.275,6.5
66.157,-16.582,6.4
73.351,55.078,6.5
70.843,53.69,6.7
38.474,40.723,6.7
70.817,54.063,6.7
70.779,54.177,6.9
73.302,55.161,6.8
54.828,161.599,6.1
37.99,22.485,6.1
61.662,140.259,6
56.206,123.727,6
38.934,40.653,6.9
63.952,145.965,7
37.585,29.784,6.2
43.191,47.14,6.7
43.078,47.131,6.1
38.944,29.747,6
38.972,29.753,6.1
39.098,29.57,6.9
44.854,17.253,6.1
44.813,17.339,6.1
38.515,28.546,6.7
39.237,28.714,6.1
63.929,-21.954,6
37.702,13.033,6.4
41.386,20.532,6.7
39.568,40.445,6.2
40.751,30.8,7.4
39.528,21.267,6.2
39.438,41.094,6.2
39.235,41.572,6.8
41.703,48.238,6
39.093,21.777,6.2
38.384,22.545,6.3
37.505,22.067,6.1
40.203,28.206,6.8
38.092,23.64,6.2
45.217,18.049,6
41.998,21.345,6
43.198,41.564,6.4
55.038,159.87,6.1
41.175,15.009,6.2
69.737,138.708,6
40.723,19.626,6.1
43.369,17.006,6.2
54.698,161.442,6.4
40.619,20.629,6.2
40.875,19.84,6
40.935,19.82,6.2
52.732,107.088,6.1
54.101,159.953,6.9
35.113,24.632,6.1
53.467,158.83,6.3
53.257,159.732,7.9
56.616,121.074,6.5
53.538,159.935,6.8
56.298,163.171,6.4
55.75,161.134,7.6
56.177,116.409,7.4
40.62,30.86,6
40.73,31.09,7.1
39.209,22.712,6
39.233,22.542,6.4
39.323,22.701,6.5
53.747,159.138,6.4
39.891,30.543,6.2
37.617,27.284,6.6
39.366,23.053,6.2
39.228,22.162,6.7
52.058,158.222,6.3
36.988,-3.612,7.8
40.956,33.204,6.1
51.487,157.474,6.1
40.175,27.648,7.3
53.882,158.765,6.1
41.289,32.96,7
61.214,136.593,7.1
55.64,160.765,6.1
65.361,136.461,6.5
53.26,159.509,6
51.639,101.134,6.9
39.49,40.668,6.8
35.631,27.153,7.3
52.279,158.232,6.5
53.359,159.918,7.2
40.696,32.992,7.6
40.916,33.562,7.5
40.87,36.732,7
45.708,26.563,7.8
39.771,39.577,7.8
39.209,27.164,6.3
39.508,33.872,6.6
40.575,23.537,6.3
54.802,161.315,6.6
40.709,23.437,6.3
39.291,45.95,6.5
41.34,22.659,6.6
40.922,15.377,6.4
53.23,159.817,6.3
64.1,-21.865,6.2
42.356,25.109,7.1
42.329,25.717,7.1
38.202,27.494,6.4
67.042,-173.886,6.3
55.245,160.05,7.2
70.094,128.731,6.7
70.221,128.939,6.5
36.57,22.995,6.3
39.897,41.891,6.8
49.179,142.436,6.8
54.486,160.472,8.4
70.54,130.512,6.4
56.285,115.329,6.5
56.136,163.168,7.9
40.074,37.329,7
42.179,13.585,6.7
37.629,30.021,7
43.603,25.952,6.6
40.638,27.023,7.1
39.665,38.027,6.3
38,15.349,7
38.153,38.645,6.8
43.096,41.664,6.4
