"latitude","longitude"
27,130
61,-152
-16,-175
1,-80
20,-156
-24,-70
31,66
57,-155
63,-151
-21,-69
51,179
-18,-172
35,-98
-4,153
-15,167
2,95
19,-156
46,153
53,-167
-15,-173
19,-155
53,-176
37,-98
19,-65
0,100
13,-91
-2,101
8,126
2,126
36,-99
18,-67
19,-64
-6,148
-36,-103
-16,167
57,-153
38,-122
-24,-67
36,-97
-18,168
38,-123
51,-174
13,-89
40,78
19,121
-11,-76
33,130
66,-166
85,13
5,126
37,30
36,-98
60,-153
-39,177
64,-148
37,141
19,-69
9,126
19,-68
60,-154
39,-116
51,176
37,139
36,71
-2,139
20,-109
-54,141
-8,108
-2,129
38,73
50,156
-29,61
-32,122
2,125
0,-81
53,171
18,-66
-55,-128
-61,-37
-44,-78
39,-119
-4,142
-31,-72
18,-69
33,-116
-8,127
24,126
37,71
53,-165
58,-154
-6,149
37,72
28,56
-30,-72
-20,-69
52,-178
55,-155
7,126
36,4
-8,155
32,50
53,-163
58,-156
-24,-176
-7,120
-19,-174
53,-164
61,-151
54,-164
18,-68
1,-79
0,-80
54,-163
63,-148
-57,-142
-19,169
36,141
44,-129
30,142
40,74
2,128
-33,-178
-42,-74
38,74
22,145
43,-127
0,126
36,130
25,95
60,-151
37,-113
36,-90
57,-136
-20,-71
47,153
17,-98
52,177
19,-67
30,143
50,-175
40,73
-21,169
-22,-179
-16,-72
53,173
52,-174
52,175
-30,-178
-23,172
36,140
40,-111
-21,-176
68,-167
0,-13
58,-151
4,-83
-11,165
51,-178
39,144
-14,168
29,129
29,130
62,-148
50,-179
43,145
14,-92
52,178
58,-33
52,-169
35,33
51,178
38,72
11,-85
-8,128
19,-66
42,-110
-61,-54
-10,119
38,-118
-5,-81
56,-160
-21,170
29,51
43,147
45,-111
48,-122
52,-173
16,-46
48,-28
-36,-97
40,-125
34,-117
39,71
36,70
37,-121
32,-41
55,-158
24,122
52,-175
1,127
34,132
-13,-77
52,176
19,146
61,-147
-19,-175
68,-136
37,138
30,70
63,-149
-4,-103
-5,153
-6,147
53,156
54,-166
40,-126
0,124
1,122
11,-86
44,-111
60,-152
66,-163
38,58
-34,78
-11,162
40,144
54,-167
50,-176
54,163
28,126
41,-124
34,35
55,-162
-20,-12
57,-158
-13,-15
30,81
56,-162
65,-167
52,-176
52,-177
-62,156
35,-119
16,-98
-15,166
62,-151
28,144
59,-137
68,-137
38,68
-4,134
-14,167
39,-123
-22,-176
55,160
63,-168
-20,169
-3,79
-33,-69
-6,105
7,-73
37,-99
54,160
64,-147
10,126
-31,-70
51,-176
34,26
44,153
42,-124
52,179
39,74
-21,-67
51,180
-6,145
-32,-71
-7,130
32,-116
32,104
33,142
32,70
38,138
-3,-80
-18,-178
54,-165
23,92
37,142
39,73
54,-162
-5,134
-21,-68
12,143
14,-93
40,72
-5,144
4,62
52,-179
-57,147
3,129
-23,-69
28,57
12,147
-53,140
62,-152
-32,-65
-6,130
-57,148
49,-125
61,-140
38,-98
54,-35
12,144
-22,-68
-6,154
35,-90
3,127
54,-36
-6,131
20,-65
41,29
12,142
57,-35
57,-34
56,-34
-22,170
-32,-72
37,-24
57,-33
42,142
-26,-69
52,-170
53,-34
1,126
-59,-25
-7,127
-42,175
56,-158
47,-122
34,-118
-3,110
18,-104
24,123
-56,-27
63,-150
44,10
36,-120
44,-114
-28,-177
53,-169
-3,131
38,-117
-61,-43
59,-152
32,-118
33,47
-12,167
-18,167
32,85
62,-146
16,-99
-15,-71
38,45
23,143
23,95
62,-150
0,127
24,141
12,-86
-25,180
-5,130
1,97
-16,-174
14,122
1,98
16,-94
-31,-177
-24,-180
-5,131
-44,-16
-4,152
23,-45
40,53
-2,99
-23,179
-18,-72
-41,175
-21,-179
-6,151
-32,179
-5,102
28,86
47,-112
36,-117
-17,168
-1,-80
-18,-179
-16,168
-35,-73
36,68
-19,-178
-7,105
-22,-67
42,141
-27,-67
-1,123
31,142
51,-180
59,-154
63,-136
32,138
52,-172
25,122
45,-112
18,-65
-30,-13
2,94
2,127
23,122
-5,152
-6,-12
20,121
56,-157
-20,168
47,-1
37,-97
56,-161
-36,-71
50,180
-32,-69
-6,152
55,-164
-31,-178
-62,-36
55,-161
34,-116
-17,-70
37,-105
42,81
-7,129
-32,57
-3,101
30,138
-52,-75
20,-69
41,-127
52,180
-7,144
33,131
-24,-68
6,-82
-11,166
53,-168
-42,-105
26,123
-12,166
35,-85
-5,140
-29,-68
-8,123
30,58
-19,-173
78,9
-18,-70
13,-87
55,-160
-4,99
-54,-132
28,130
3,128
-7,150
-16,-70
66,-144
31,-103
-31,-71
48,154
40,-118
-3,148
-18,-177
-8,-74
8,-83
-47,165
-9,161
60,-157
-28,-72
14,-91
-11,164
53,-174
-13,167
39,-118
18,-64
-62,166
6,-78
-11,116
-31,180
-28,61
-21,-12
-5,138
2,98
-55,-28
53,-175
65,-149
50,-174
66,134
-7,-79
61,-150
57,-157
60,-134
-10,124
-7,117
28,84
-11,163
-59,-29
-10,-74
15,-61
39,142
4,128
-51,139
-20,-177
-6,142
16,120
-20,-178
42,-126
63,155
32,142
-24,180
6,126
13,-88
-36,180
3,65
40,-116
-19,-177
8,-39
-16,-180
-19,170
12,-87
-34,-112
12,-89
6,120
-4,-105
-35,-112
6,94
-58,-26
-17,-174
-25,-180
11,126
-4,143
44,-127
44,148
39,50
-17,-178
-23,-180
-9,-110
-15,-174
32,130
46,152
-20,-174
-18,170
17,-61
51,-177
-12,162
24,124
54,-169
37,2
35,140
36,-121
50,179
26,95
53,-170
51,-173
45,148
6,125
-8,115
39,24
22,-157
-1,29
-24,179
4,126
13,144
-31,-180
-6,146
36,143
-37,-95
24,125
58,-153
58,-132
-17,-177
39,41
17,121
36,-119
-16,-177
-16,-173
-8,-13
-8,-14
64,-151
23,94
35,137
54,-161
-23,-66
38,144
6,127
62,-140
-17,-173
16,-87
12,141
25,124
29,143
-35,179
11,141
47,147
-5,141
44,-66
