"Lat","Long","Name"
27,130,5
61,-152,5
-16,-175,4.7
1,-80,6.3
1,-80,5.8
19,-156,4.5
-24,-70,5.3
31,66,4.7
57,-155,5.3
57,-155,4.9
63,-151,4.9
-21,-69,4.8
51,179,5
-18,-172,4.6
35,-98,4.8
-5,153,4.7
-15,167,5
2,95,4.7
19,-156,5.17
46,153,4.6
53,-167,5.3
-15,-173,5.8
-15,-173,6
19,-155,4.62
53,-167,5.2
53,-167,5.4
53,-176,4.7
37,-98,4.5
19,-65,4.5
0,100,5.1
13,-91,5.2
35,-98,4.5
-2,101,4.7
8,126,4.6
2,126,4.6
37,-99,4.5
19,-67,4.7
19,-64,4.7
-6,148,5.4
-36,-103,5
2,95,4.9
19,-155,4.66
-16,167,4.9
57,-153,5.4
38,-122,5.3
-24,-67,4.7
36,-97,4.5
-18,168,4.8
36,-99,5.2
38,-123,4.61
51,-173,4.9
13,-89,4.5
40,78,4.8
36,-97,5.3
19,121,4.8
-11,-76,5.4
33,131,5.2
66,-166,4.6
85,13,4.5
66,-166,4.8
5,126,4.5
37,31,5.2
36,-98,4.7
60,-153,4.9
36,-99,4.8
36,-99,5.1
36,-99,5.4
-39,177,5.4
63,-148,5
36,-99,4.9
37,141,4.6
19,-69,4.5
36,-99,4.6
19,-65,5
9,126,5.2
19,-68,4.8
63,-148,4.5
39,-116,4.6
51,176,5.1
37,139,4.7
19,-155,5.48
35,-98,5.4
37,-98,4.7
36,71,5.2
-2,139,4.7
20,-109,4.7
-54,141,5.4
-8,108,5.4
19,-65,4.6
-2,129,5.3
38,73,5.4
49,156,5.4
-29,61,4.7
-33,122,5.2
2,125,4.5
0,-81,4.6
53,171,5.1
18,-66,4.7
35,-98,4.7
0,-81,5.3
-55,-128,5.1
60,-153,5.4
-61,-37,5.1
-21,-69,5.2
-44,-78,4.6
19,-65,4.7
39,-119,4.5
39,-119,5.3
-4,142,5.4
-31,-72,5.4
18,-69,5.4
35,-98,5
60,-153,4.6
19,-155,4.53
33,-116,4.76
-8,127,5.6
25,126,4.8
-8,127,5.2
37,71,4.5
53,-165,4.9
60,-153,5.3
58,-154,5.1
-6,149,5.2
37,72,5.2
28,56,5
-30,-72,5.3
19,-64,4.6
-20,-69,4.5
52,-178,4.5
55,-155,5.2
7,126,4.8
36,3,5.2
-8,155,4.9
32,50,4.5
53,-163,4.9
58,-156,4.9
-24,-176,4.8
-7,120,4.5
36,-98,4.6
-19,-174,5.2
53,-163,4.5
53,-163,4.6
61,-151,4.6
53,-164,4.5
18,-68,5.1
24,126,5.3
1,-79,4.6
-19,-173,4.9
19,-65,5.2
0,-80,5.3
53,-163,4.8
63,-148,4.6
19,-68,5
-57,-142,5.9
-19,169,4.8
36,141,5.4
44,-129,5.3
30,142,4.6
39,73,5.4
2,128,5.3
-33,-178,5.2
63,-151,4.8
-42,-74,5.3
36,-98,4.5
38,74,5.3
22,145,5.2
53,-167,4.5
43,-127,5.1
0,125,5.4
36,130,4.8
0,126,4.5
25,95,5.4
60,-151,4.5
37,-113,4.5
36,-90,5
37,-113,4.96
19,-156,4.63
57,-136,4.6
-20,-71,5
37,-98,4.8
47,153,5.4
17,-98,5.3
52,177,4.6
-21,-69,4.7
-2,139,5.4
30,143,4.6
50,-175,4.7
40,73,5.2
18,-67,5
36,-97,4.8
-21,169,4.9
-22,-179,4.6
-17,-72,5.3
53,173,4.6
52,-174,4.5
53,173,5.3
36,-97,4.7
51,175,4.8
-30,-178,5.2
52,-174,5
-23,172,4.8
36,140,4.5
40,-111,4.54
-21,-176,4.9
2,128,4.6
68,-167,4.9
68,-167,5.4
-1,-13,4.9
68,-167,4.7
58,-151,4.8
36,-99,4.5
3,-83,4.8
-11,165,5.6
51,-178,4.6
39,143,4.6
47,153,4.6
-14,168,4.7
29,129,4.7
39,73,4.7
36,140,5.4
62,-148,4.6
50,-179,4.6
43,145,4.6
-31,-72,4.8
14,-92,4.5
2,95,5.4
19,-67,4.8
19,-67,4.9
51,-178,4.9
51,178,5.2
36,-97,5.1
57,-33,4.5
52,-179,5.3
39,73,4.5
52,-169,5.1
35,33,4.8
19,-64,4.8
19,-64,5
51,178,5
38,72,5.3
19,-68,5.2
53,-167,4.9
11,-85,5.1
11,-85,5.3
60,-153,5
18,-69,5.3
-8,128,5.4
19,-66,4.8
42,-110,4.51
-24,-67,5.2
-61,-54,4.7
54,-165,4.5
19,-67,5.1
19,-67,5.3
37,-98,5.1
-10,119,4.9
38,-118,4.6
38,-118,4.8
19,-67,5
-5,-81,4.6
56,-160,4.5
37,-98,5.3
-21,170,5.3
19,-65,4.8
29,51,4.8
19,-67,4.6
43,147,5
42,-110,5.4
45,-111,4.64
-15,-173,4.6
-31,-71,4.6
48,-122,4.63
48,-122,5.01
52,-173,4.5
25,95,4.5
48,-122,5.4
16,-47,4.8
2,128,4.8
48,-28,5.4
-36,-97,4.8
40,-125,4.69
63,-151,5.2
52,178,4.5
34,-117,4.93
39,71,5.4
36,70,5.3
19,-65,5.3
37,-121,4.91
31,-41,4.7
36,-97,4.9
55,-158,4.9
63,-151,4.5
39,-116,4.7
24,122,4.7
36,-98,5.3
52,-175,5.1
1,127,4.5
52,-173,4.9
34,132,4.8
-13,-77,4.9
39,73,5.2
52,176,4.9
19,145,4.5
61,-147,4.6
19,-66,4.6
-19,-175,4.5
68,-136,4.7
18,-69,4.8
37,138,4.5
30,70,4.6
63,-149,4.6
-4,-103,4.9
-5,153,4.6
57,-153,4.6
-6,147,4.5
53,156,4.6
54,-166,4.8
52,-169,4.6
52,-174,4.9
40,-126,4.82
52,-173,5.3
-29,61,5.1
1,124,5.2
-16,167,5.8
1,122,4.9
11,-86,4.6
44,-111,4.94
19,-65,5.4
38,73,4.5
18,-67,4.8
19,-65,4.9
66,-163,5.2
38,58,4.7
-34,78,4.8
-11,162,4.9
52,-174,4.6
40,144,5
54,-167,4.8
50,-176,5.1
13,-91,5.1
54,163,5.3
27,127,4.6
41,-124,4.51
34,35,4.7
55,-162,4.9
60,-152,4.5
-20,-12,5.1
-20,-12,5.2
57,-158,4.5
-13,-15,5.1
54,-163,4.7
60,-153,4.7
30,81,4.6
56,-162,5.3
54,-166,4.6
39,73,5.1
36,-98,5.2
65,-167,5
65,-167,4.5
52,-176,4.5
52,-177,4.8
-62,156,4.6
