"Lat","Long","Magnitude"
51.9593,178.5844,6
52.788,-132.101,7.8
41.1444,-114.8721,6.2
35.7188333,-121.1571667,6.48
63.517,-147.444,7.9
63.514,-147.912,6.7
59.025,-155.116,6.8
57.078,-153.211,7
57.369,-154.206,6.6
57.362,-154.514,6.4
57.413,-154.489,7
34.6033333,-116.265,7.1
60.53,-153.219,6.2
34.213,-118.537,6.7
37.165,-117.774,6.1
34.203,-116.827,6.3
34.2,-116.437,7.3
40.368,-124.316,7.1
33.96,-116.317,6.1
62.476,-151.413,6.3
58.84,-156.858,6.6
60.08,-73.445,6
37.036,-121.883,7.2
19.362,-155.083,6.5
62.154,-124.182,6.2
60.296,-152.972,6.5
33.015,-115.852,6.6
33.09,-115.792,6.2
53.47,-167.291,6.9
37.538,-118.441,6.35
33.999,-116.608,6
62.222,-124.239,6.9
62.237,-124.266,6.7
66.239,-150.029,6.2
37.47,-118.597,6.03
37.32,-121.698,6.1
19.43,-155.454,6.7
44.058,-113.857,6.9
60.976,-147.5,6.4
61.031,-147.286,6.6
36.2316667,-120.312,6.07
37.608,-118.888,6
37.6243333,-118.7551667,6.31
37.6956667,-118.75,6.47
37.6883333,-118.8018333,6.22
37.7335,-118.4363333,6
32.6673333,-115.3591667,6.4
60.642,-141.593,7.1
42.061,-112.548,6.1
34.416,-118.37,6.6
60.538,-145.537,6
57.399,-154.058,6
60.146,-153.058,6.3
65.393,-150.072,6.7
33.1798333,-116.103,6.6
60.281,-141.418,6.5
47.288,-122.406,6.7
64.572,-160.375,6
59.989,-148.444,6.1
71.259,-73.112,6.1
57.201,-154.249,6
59.8,-150.932,6
44.819,-111.659,6
44.812,-110.864,6.3
44.63,-110.891,7.2
39.404,-118.171,6
65.915,-156.343,7.1
51.841,-176.114,6
65.27,-133.163,6.3
40.846,-123.893,6.6
39.207,-117.704,6.6
39.346,-117.981,7.1
60.651,-150.392,6.4
39.378,-118.516,6.5
39.42,-118.566,6.2
19.327,-155.241,6.1
33.2985,-116.0805,6.4
65.279,-133.365,6.3
34.9581667,-118.998,7.5
64.814,-162.642,6
60.137,-149.351,6.8
47.003,-122.527,6.7
33.9833333,-116.3308333,6
64.131,-148.613,7.2
34.9828333,-116.5315,6.5
49.621,-125.261,7.5
35.7023333,-117.9441667,6.3
61.776,-151.051,7.6
32.9753333,-115.7853333,6.6
38.6786667,-118.3413333,6.12
66.877,-135.633,6.5
32.8441667,-115.381,6.9
57.104,-153.617,6.4
64.726,-146.565,7
33.4,-116.25,6
61.535,-147.781,6.9
41.38,-112.785,6.5
37.586,-117.441,6.5
51.692,-176.783,6.4
60.901,-148.395,6.4
38.631,-117.91,6.8
40.73,-124.211,6.4
62.536,-152.957,6.8
30.664,-104.367,6.5
19.838,-155.641,6.4
64.355,-147.852,6.5
46.367,-111.408,6.9
47.495,-69.928,6.3
61.109,-147.755,6.6
34.243,-119.097,6.5
50.957,-127.233,6.4
33.647,-117.433,6.7
40.258,-117.654,6.8
