"Lat","Long","Magnitude"
-15.0231,-172.8552,6
-3.462,151.8538,6.3
22.6614,-45.1327,6.1
-20.2072,168.7595,6
-20.2802,169.0752,6.3
-18.763,168.8299,6.2
-8.6757,160.559,6.2
-11.2512,116.2613,6.1
1.283,126.3695,6.3
18.4123,-105.1876,6.2
-30.0235,-177.8359,6.1
-4.587,125.6264,6.3
-2.0967,100.6654,6.6
25.5615,122.5458,6.4
-56.2409,-26.9353,7.2
-21.9731,-178.1987,6.9
-20.8101,-178.6481,6.4
10.2752,-103.7363,6.6
14.5178,-93.0882,6
14.479,-93.1509,6
-0.2921,-80.5039,6
0.639,-80.2104,6.2
-55.7283,-27.2307,6.2
13.4008,-92.367,6.1
-14.5284,166.4334,6.4
7.7917,122.0231,6
-13.9805,166.5943,6.7
-8.2036,107.3857,6.1
-14.0683,166.6245,6.7
-14.3235,166.8551,6.9
-3.3585,144.887,6.2
54.294,162.8129,6.4
17.996,-60.7019,6
51.5145,-174.1423,6
51.5648,-173.9423,6.3
-4.9521,94.3299,7.8
-51.7897,139.5956,6.1
-30.4242,-72.2967,6
0.8597,129.0605,6
-55.7841,-125.1659,6.1
-20.9981,-175.4788,6
-6.6207,154.7421,6.4
-30.7539,-179.9504,6.2
-63.263,169.1485,6.1
-5.2952,153.2454,6.1
35.6493,-3.6818,6.3
59.6363,-153.4051,7.1
18.8239,-106.9337,6.6
41.9723,142.781,6.7
44.4761,141.0867,6.2
3.8965,126.8621,6.5
-54.2906,-136.2603,6
-50.5575,139.4489,6.3
-55.755,-123.1158,6.2
-18.3819,169.3857,6
15.8015,-93.633,6.6
-16.7374,175.2475,6.1
-4.1064,129.5079,6.9
-47.6165,85.0913,7.1
-24.828,-70.6009,6.2
18.7787,145.2659,6
-7.1484,129.9375,6.1
-8.8994,158.4217,6.8
31.0009,128.8729,6.7
-29.5097,-72.0585,6.9
-29.5067,-72.0068,6.9
51.6394,-173.0746,6.5
6.8431,94.648,6.6
-29.4642,-72.3015,6.2
-45.8146,37.1711,6
-54.2258,6.1653,6.2
-14.8595,167.3028,7.1
-16.2018,-173.2608,6
48.8595,156.2259,6
-54.4856,-135.708,6.1
-0.6212,131.2622,6.6
-31.5757,-71.7431,6.1
-9.307,158.403,6.7
43.9097,147.9748,6.3
10.1691,125.8907,6.1
-10.9911,162.5558,6
-32.0722,-178.3241,6
27.7375,139.7254,6.5
-20.4307,-178.3276,6
-36.3601,-73.812,6.4
-35.3639,-17.1605,7
-15.6758,-173.0098,6
41.5615,142.0308,6.1
30.7856,142.9722,6.2
-15.7216,-173.3817,6
27.8386,140.4931,7.8
56.594,-156.43,6.7
-19.3933,-175.9627,6.2
-16.855,-14.1708,6.3
-11.1093,163.2154,6.8
-11.0559,163.6959,6.9
-10.8759,164.1694,6.8
-19.3021,-175.5247,6
-54.3312,-132.1618,6.7
38.9056,142.0317,6.8
31.2373,142.0157,6
-7.2175,154.5567,7.1
-5.6314,151.6757,6
-20.8865,-178.6329,6.1
51.6148,-130.7714,6.2
-12.039,166.432,6.2
24.0471,122.4532,6.1
24.0851,122.453,6
24.2026,122.3158,6.4
-15.8815,-178.6005,6.5
35.1891,26.8235,6
-15.1676,-173.2247,6.3
-4.8946,152.49,6
-15.4994,-173.0293,6.5
-15.392,-172.9409,6.4
-15.4296,-173.049,6
-4.7294,152.5623,7.5
-36.1167,-73.5219,6.2
1.6686,126.5217,6.2
-0.5409,122.3067,6.1
-41.3157,80.6046,6
-0.7789,98.7161,6.1
-7.2968,122.5348,7
18.6766,-106.848,6.2
39.8185,143.4861,6
39.8244,143.5871,6.2
-16.4311,168.1483,6.4
-10.7598,164.1216,6.1
39.8558,142.8808,6.7
-55.52,-28.2591,6.2
22.6374,121.427,6.2
52.6487,-31.9016,7.1
-21.2452,170.158,6
-20.9665,-178.3032,6.2
-17.0309,168.52,6.8
5.9045,-82.6576,6.5
-20.3263,-178.5639,6
8.6341,121.5213,6.1
2.0892,126.6483,6.3
25.5403,122.4503,6.1
7.9401,-82.6865,6.6
13.6717,-91.4731,6.1
-6.5108,154.4603,6.6
-6.11,130.4829,6
7.9824,-82.7339,6
