"Lat","Long","Magnitude"
0.554,-79.663,6.3
12.8261,-86.9739,6.1
0.4947,-79.616,6.9
0.4261,-79.7899,6.7
0.7079,-80.0352,6
0.3819,-79.9218,7.8
-30.5723,-71.5838,6.3
-19.7597,-63.3288,6.1
-9.1825,-71.2574,6.7
-10.0598,-71.0184,7.6
-10.5372,-70.9437,7.6
-30.8796,-71.4519,6.8
-30.8148,-71.3217,6.3
-31.4441,-71.2653,6
-31.7275,-71.3792,6.6
-22.4,-68.4323,6
-18.3534,-69.1663,6.4
6.7757,-72.9875,6.2
-23.1125,-66.688,6.7
-32.7183,-67.1231,6.3
17.2192,-100.8122,6
17.2349,-100.7461,6.4
17.397,-100.9723,7.2
11.642,-85.8779,6.6
12.4029,-86.3783,6.1
-30.2921,-71.5215,6.6
18.081,-102.182,6
14.487,-90.463,6.2
-27.932,-63.097,6.1
1.135,-77.393,6.9
-28.094,-70.653,6.8
18.346,-100.382,6.1
-29.118,-71.19,6.1
-8.866,-75.071,6
10.086,-85.298,6.5
1.929,-76.362,7.3
10.085,-85.315,7.6
-8.414,-74.259,6.1
-15.877,-72.413,6.1
-36.074,-70.57,6
-28.043,-63.094,6.7
-17.678,-69.591,6.2
-32.625,-71.365,6.7
18.229,-102.689,6.5
16.395,-98.316,6
-35.2,-72.217,7.1
16.493,-98.231,7.4
-28.246,-63.294,6.1
-14.168,-75.635,6.4
17.986,-99.789,6.5
-27.899,-70.918,6.1
-15.364,-65.09,6.6
11.56,-85.861,6
-14.438,-75.966,6.9
-28.398,-63.029,6.7
-7.641,-74.525,7
-21.701,-68.228,6.4
17.208,-94.338,6.6
-18.021,-69.362,6.3
-37.027,-72.954,6.1
-38.355,-73.326,7.2
-26.803,-63.136,7
16.396,-97.782,6.3
-8.087,-71.558,6.5
-13.928,-74.352,6.1
-5.083,-77.541,6
-18.058,-70.547,6.2
-38.072,-73.454,6.3
-37.529,-72.969,6
32.2861667,-115.2953333,7.2
-27.953,-70.821,6.3
-34.47,-72.004,6
-34.326,-71.799,7
-34.29,-71.891,6.9
-22.227,-68.328,6.3
-34.903,-71.617,6.2
-34.7,-71.827,6
-24.872,-65.602,6.3
-36.869,-72.673,6
-31.663,-69.141,6
18.387,-72.784,6
18.443,-72.571,7
-22.965,-66.641,6.2
29.31,-113.728,6.2
-15.041,-70.445,6.1
14.546,-91.143,6.3
-5.854,-80.891,6.1
10.165,-84.197,6.1
8.267,-82.967,6.3
-20.123,-64.971,6.2
-26.736,-63.225,6.3
-7.641,-74.377,6.4
-15.986,-71.748,6.2
-20.043,-68.963,6.2
-21.346,-68.385,6.1
16.357,-94.304,6.5
-20.166,-70.037,6.3
-22.954,-70.182,6.7
-23.202,-70.549,6.2
-23.157,-70.479,6
-22.643,-66.323,6
16.35,-93.99,6.1
-45.243,-72.648,6.2
17.302,-100.198,6
13.994,-91.207,6
-26.052,-63.283,6.8
-1.386,-77.517,6.1
-22.361,-67.895,6.8
-19.987,-69.197,7.8
-24.221,-67.003,6.1
-7.293,-77.886,6
-24.725,-63.507,6.4
-24.983,-63.47,6.9
15.144,-91.381,6.1
-1.364,-80.785,6.1
-1.134,-80.829,6
-38.854,-73.155,6.1
-37.695,-73.406,6.6
-21.118,-65.586,6.1
8.358,-82.877,6.1
17.488,-101.303,6.1
8.416,-82.824,6.5
19.777,-70.673,6.4
-30.608,-71.637,6.8
-7.606,-71.722,7.1
-8.195,-71.592,6
-8.295,-71.738,6.9
-31.519,-69.2,6.3
-30.805,-71.124,6.6
-28.937,-66.797,6
-30.749,-71.197,6
-27.535,-70.586,6.7
-21.663,-68.329,6.5
15.502,-93.133,6.4
-8.357,-74.22,6
15.571,-93.106,6.4
-19.448,-69.255,6.4
-17.003,-65.711,6.2
-19.522,-66.254,6.1
-22.739,-67.877,6
13.283,-88.827,6.1
13.671,-88.938,6.6
15.402,-92.718,6
18.198,-102.48,6.5
-33.877,-70.088,6.4
-23.548,-66.452,7.2
-28.384,-62.943,6.1
-28.307,-62.99,7
14.975,-92.444,6.3
9.406,-78.532,6.1
-23.169,-70.122,6.4
-18.901,-69.171,6.6
16.059,-96.931,7.5
-20.934,-67.275,6.4
-1.287,-77.549,6.3
15.782,-88.33,6.7
18.324,-101.539,6.3
18.386,-97.436,7
-1.648,-77.783,6
-34.673,-69.6,6
4.461,-75.724,6.1
-38.214,-71.033,6
-16.119,-71.404,6.2
-32.312,-71.286,6.4
15.959,-93.776,6.3
-17.731,-65.431,6.6
18.525,-101.203,6
-8.148,-74.238,6.6
14.38,-91.466,6.1
15.883,-96.298,6.4
-23.913,-70.207,7.1
-30.985,-71.41,6.6
14.374,-91.473,6.6
-12.029,-72.074,6.4
13.84,-88.739,6.1
3.929,-75.787,6.4
-13.74,-68.788,6.7
13.849,-88.808,6.5
-30.744,-71.224,6.2
-4.368,-76.681,7.2
-30.933,-71.22,7.1
3.849,-75.749,6.8
-22.982,-66.301,6.1
16.333,-98.216,6.9
10.598,-63.486,7
18.684,-101.604,6.5
-18.351,-69.347,6.2
-18.298,-69.526,6.2
-9.063,-71.295,6.1
-29.815,-71.147,6.2
-21.999,-65.719,7.1
18.219,-102.756,7.2
15.83,-92.971,6.4
7.306,-77.393,6.3
17.6,-100.965,6.8
-23.944,-70.093,6.6
-1.036,-78.737,6
16.122,-97.93,6.2
-33.672,-71.671,6
-28.906,-71.417,6.7
16.84,-93.469,7.2
19.055,-104.205,8
-2.778,-77.851,6.5
-2.75,-77.881,7
16.779,-98.597,7.4
5.139,-75.577,6.6
-23.982,-70.276,6
-23.34,-70.294,8
-3.792,-76.917,6.7
-23.366,-67.688,6
4.104,-76.622,6.4
5.05,-72.916,6.5
-17.477,-69.598,6.3
18.136,-101.384,6.5
-23.422,-66.639,6
-9.379,-71.334,6.1
-39.187,-70.811,6
7.054,-76.678,6.1
-26.642,-63.421,6.5
-15.25,-70.294,6
-14.365,-68.439,6.1
-13.841,-67.553,8.2
2.917,-76.057,6.8
7.414,-72.033,6
18.165,-100.527,6.3
-28.501,-63.096,6.9
-28.299,-63.252,6.9
14.72,-92.004,6
15.994,-92.428,6.9
-13.339,-69.446,6.9
16.755,-98.717,6.7
-22.378,-65.971,6
6.47,-71.21,6.1
-25.304,-70.166,6.6
-31.56,-69.234,6.3
-22.671,-66.543,7
-23.238,-66.631,6.2
16.698,-98.395,6.1
16.673,-98.417,6
-8.472,-71.485,6.1
-11.652,-76.53,6.3
